"Add a pattern, icon or text to your device","Añadir patrón, mini ícono o texto a tu vaporizador"
"Add a pattern, a mini icon or text to your device","Añadir patrón, mini ícono o texto a tu vaporizador"
"Add and continue","Añadir y continuar"
"vertical","Vertical",module,BAT_DevicePersonalisation
"Front","Frente"
"How would you like to customise the front of your device?","¿Cómo te gustaría personalizar el frente de tu ePod?"
"The summary","Resumen"
"Customise the front of your device","Personalizar el frente de tu vapeador"
"Customise the <strong>front</strong> of your device","Personalizar el frente de tu vapeador"
"Add text to the front of your device","Añadir texto al frente de tu vapeador"
"Add text to the back of your device","Añadir texto al reverso de tu vapeador"
"Pick your text direction","Seleccionar Orientación"
"Choose the pattern you like","Seleccionar el patrón de tu agrado"
"Choose the mini icon you like","Seleccionar el mini icono de tu agrado"
"Pattern","Patrón"
"Patterns","Patrones"
"Psn patterns","Patrón"
"Mini icon","Mini ícono"
"Mini icons","Mini íconos"
"Icon","Ícono"
"Enter your text","Ingresa tu texto"
Add up to <span class="limit"></span> characters,Hasta <span class="limit"></span> caracteres
"Personalisation","Personalización"
"Personalisable","Personalizable"
"Personalisation options","Opciones de personalización"
"Text alignment","Orientación de Texto"
"Typeface","Fuente"
"Orientation","Orientación de texto"
"Text","Mensaje"
"Sorry, this is a restricted word we would prefer you don't use.","Esta palabra no está permitida, por favor intenta con otra."
"Sorry, one or more of these characters is not allowed.","Uno o más caracteres en tu mensaje no están permitidos."
"Since you haven't selected any personalisation options, you will be charged the default price.","Como no ha seleccionado ninguna opción de personalización, se le cobrará el precio predeterminado."
"Engrave your device","Grabar vapeador"
"Add","Añadir"
"Back","Reverso"
"Cancel engraving","Cancelar"
"Don’t customise the front","Omitir Frente"
"New","Nuevo"
"Add up to 10 characters","Hasta 10 caracteres"
"Don’t customise the back","Omitir reverso"
"Message","Mensaje"
"Basket","Carrito"
"Close","Cerrar"
"Clear","Vaciar Carrito"
"Shopping cart","Mi carrito"
"Price","Precio"
"Order Summary","Resumen De Orden"
"Apply a discount code","Aplicar Código De Descuento"
"Order","Pagar"
"I don't want to customise the front","Omitir Frente"
"Don't customise the front","Omitir Frente"
"Personalise your device","Grabar vapeador"
"Back view","Reverso"
"Back","Reverso"
"Front view","Frente"
"Customise the back of your device","Personalizar el reverso de tu vapeador"
"Customise the <strong>back</strong> of your device","Personalizar el reverso de tu vapeador"
"I don't want to customise the back","Omitir reverso"
"Don't customise the back","Omitir reverso"
"Engraving","Grabado"
"You have an error in this field, please correct or delete your selection before you can continue with your purchase.","Tiene un error en este campo, corrija o elimine su selección antes de poder continuar con su compra."
"horizontal","Horizontal"
