"We were unable to read your ID information due to the image quality.","We kunnen uw ID-gegevens niet lezen vanwege de beeldkwaliteit."
"Please make sure that the information on your ID is easily readable.","Gelieve ervoor te zorgen dat de informatie op uw identiteitsbewijs goed leesbaar is."
"Upload my documents","Mijn documenten uploaden"
"Documents and images will be automatically deleted after verification","Documenten en afbeeldingen worden na verificatie automatisch verwijderd"
"Face not found.","Geen gezicht herkend."
"Multiple faces in the image provided.","Meerdere gezichten herkend. Er is maar één gezicht toegestaan."
"The face in the image provided is too small.","Het gezicht in de genomen foto was te klein."
"Face ratio is lower than the minimum ratio.","Het gezicht in de genomen foto was te klein."
"Face ratio is bigger than the maximum ratio.","Het gezicht in de genomen foto was te groot."
"Image too bright.","De genomen foto is te licht."
"Image too dark.","De genomen foto is te donker."
"Insufficient area around the face in the image provided.","Het gezicht was te dichtbij het frame."
"A technical problem has occurred.","Er is een fout opgetreden."
"Image has not been provided.","Er is een fout opgetreden."
"Payload too large.","Er is een fout opgetreden."
"Image format not supported. Only JPEGs (95 to 100 quality) and PNGs are allowed.","De afbeelding is niet geschikt."
"Image size too big, the maximum size is 2MB.","De afbeelding is niet geschikt."
"Image size too small, the minimum size is 50KB.","De afbeelding is niet geschikt."
"Minimum image height supported is 300 pixels.","De afbeelding is niet geschikt."
"Maximum image height supported is 2000 pixels.","De afbeelding is niet geschikt."
"Minimum image width supported is 300 pixels.","De afbeelding is niet geschikt."
"Maximum image width supported is 2000 pixels.","De afbeelding is niet geschikt."
"Minimum number of image pixels supported is 90,000.","De afbeelding is niet geschikt."
"Maximum number of image pixels supported is 2,100,000.","De afbeelding is niet geschikt."
"Missing colour channel, the input image must be RGB or RGBA.","De afbeelding is niet geschikt."
"Grayscale images not supported.","Zwart-wit fotos zijn niet toegestaan."
"Invalid device metadata provided.","Un problème technique est survenu."
"Unknown Error.","Er is een interne server fout opgetreden."
"Please use valid image type.","Gebruik aub een afbeeldingstype dat ondersteund wordt."
"Image exceeds maximum allowed size.","De afbeelding overschrijdt de toegestane maximumgrootte."
"Image should have minimum dimension of %1 px.","De afbeelding moet minimaal een dimensie hebben van %1 pixels."
"Please retry or contact the customer care team.","Probeer opnieuw of contacteer het customer care team."
